,연도,local_id,인구당 주거용 전력소비량,인구당 업무용 전력소비량,인구당 산업용 전력소비량,인구당 전체 전력소비량
32,2015,35,1.2175229219916874,3.03209319515155,7.563364605545991,11.812980722689229
33,2016,35,1.2550602185445983,3.1486391772590063,7.787208861475629,12.190908257279235
34,2017,35,1.254272738105701,3.239115348966115,7.800131779940441,12.293519867012256
35,2018,35,1.3237095172557969,3.414765204438947,7.762373477813975,12.50084819950872
36,2019,35,1.3179980175016233,3.383304460841259,7.548124515852015,12.249426994194897
37,2020,35,1.3962897926061912,3.3899337288759406,6.598325817136928,11.38454933861906
38,2021,35,1.4488601481373697,3.4857590571143153,7.090340850264851,12.024960055516535
39,2022,35,1.4678858074137364,3.633940191240202,7.23903329948401,12.340859298137948
104,2015,36,1.1551464749009428,3.1667641000819278,12.774935096773383,17.096845671756252
105,2016,36,1.1985572877766537,3.3370257270023753,12.848006790222668,17.383589805001698
106,2017,36,1.2044352950605983,3.509067592479319,12.984068963480741,17.69757185102066
107,2018,36,1.2641146699097703,3.653122460793321,13.202228394504427,18.119465525207517
108,2019,36,1.2621465207933666,3.7723231366505328,12.2955245365205,17.3299941939644
109,2020,36,1.350588075173814,3.7192642484751954,11.658832685497385,16.728685009146396
110,2021,36,1.4070361080814469,3.881115428117479,12.982682808790688,18.270834344989613
111,2022,36,1.4342104322117493,4.0162634366453815,13.620421885495768,19.070895754352897
56,2015,37,1.1754060379765474,3.4499801319063823,12.007884340316394,16.633270510199324
57,2016,37,1.219667249049955,3.5782821643328133,11.735725992983257,16.533675406366026
58,2017,37,1.2269033096482305,3.739456315065613,11.920927099764981,16.887286724478827
59,2018,37,1.3068845212865512,3.9024652658311263,11.959763242431068,17.169113029548747
60,2019,37,1.3003162985269912,3.821467637168978,11.501431821012245,16.623215756708216
61,2020,37,1.3756932388985164,3.8143222266087045,10.344304927366673,15.534320392873894
62,2021,37,1.4121812572788717,3.9957089159444745,11.442085213292119,16.849975386515464
63,2022,37,1.447166151635921,4.356492925184926,11.541324487827689,17.344983564648537
1,2015,38,1.2059148180136012,2.8132696446817578,6.0489660005551755,10.068150463250534
4,2016,38,1.2526341404280128,2.9062198880751517,6.0660407585233695,10.224894787026534
7,2017,38,1.2604966743619994,2.986417303967218,6.0027085519955605,10.249622530324778
10,2018,38,1.3284976117283167,3.0912952268947014,6.0006982834556615,10.42049112207868
13,2019,38,1.331128758416596,3.0304503750572853,5.890159649528201,10.251738783002082
16,2020,38,1.4126439727251172,3.0868509701169025,5.700436139459245,10.199931082301264
19,2021,38,1.4561830170512613,3.1621521804921455,6.163826801356473,10.78216199889988
22,2022,38,1.4824927228925653,3.320794465953745,6.2288713921962335,11.032158581042545
40,2015,39,1.0820586327565083,3.5701695240993283,2.44192378222119,7.094151939077027
41,2016,39,1.1457223147863846,3.7851455041092774,2.454143332964462,7.385011151860124
42,2017,39,1.1910230518823346,3.972799478909057,2.466181593497321,7.630004124288712
43,2018,39,1.2456552921127533,4.124913255724373,2.5321189884156112,7.902687536252738
44,2019,39,1.2682592412096174,4.1660876705877445,2.575148027762005,8.009494939559367
45,2020,39,1.360608328948246,4.111340206185567,2.492783505154639,7.964732040288452
46,2021,39,1.4355065835844074,4.3745306674902,2.594326783980708,8.404364035055314
47,2022,39,1.482352958524476,4.724928814629018,2.7070775437618613,8.914359316915355
