,연도,local_id,인구당 주거용 전력소비량,인구당 업무용 전력소비량,인구당 산업용 전력소비량,인구당 전체 전력소비량
114,2015,11,1.2936131367014825,3.0308065679516263,0.20368470695151086,4.52810441160462
117,2016,11,1.3404583361193303,3.1469779921003895,0.19437152740575206,4.681807855625472
120,2017,11,1.3321096196917939,3.168056143662656,0.19661390306150917,4.696779666415959
123,2018,11,1.4097201991106967,3.3072854645320633,0.17876084301022066,4.895766506652981
126,2019,11,1.3874929117338313,3.2929997583539783,0.16755823530361008,4.848050905391419
129,2020,11,1.4462177812093233,3.1331147188307553,0.15646847767458433,4.735800977714663
132,2021,11,1.5412158085140077,3.2677350275904264,0.16460359780757222,4.973554433912006
133,2022,11,1.5432250657907856,3.4688607959041073,0.16257981759735404,5.1746656792922465
113,2015,21,1.2386358041503487,2.386581163232613,2.067321005288611,5.692537972671572
116,2016,21,1.2783264051834358,2.504088432595528,2.067784203017897,5.850199040796861
119,2017,21,1.2889534044457915,2.560914329378362,2.202987161205687,6.05285489502984
122,2018,21,1.3542826242287778,2.6458972416592643,2.1648338652307615,6.165013731118804
125,2019,21,1.354703397141226,2.5972674181369313,2.141578942897458,6.093549758175615
128,2020,21,1.4261686359393693,2.5550639662305943,2.0636658130760335,6.0448984152459975
131,2021,21,1.4848730591753772,2.622765775822444,2.1805532506760428,6.288192085673864
134,2022,21,1.5234226652986969,2.7890097449765086,2.165827358512176,6.478259768787382
72,2015,22,1.2155879684656783,2.39192725866609,2.4008189469613868,6.0083341740931555
73,2016,22,1.2652802894037045,2.474708771020347,2.405215497169113,6.145204557593164
74,2017,22,1.2733777170696392,2.5439379193295495,2.3988197465206276,6.216135382919816
75,2018,22,1.34655932380333,2.641526479535651,2.3795908551939684,6.367676658532949
76,2019,22,1.334061379859403,2.623256636195356,2.3041220558721363,6.261440071926895
77,2020,22,1.4107894403861152,2.570013141213044,2.1219502916456126,6.102752873244771
78,2021,22,1.4510411618621857,2.6950581283233253,2.328232607197415,6.474331897382926
79,2022,22,1.51478217753505,2.51157829005568,2.4161288425602163,6.442489310150946
96,2015,23,1.2517469491406668,2.4835951692092633,4.198078142329573,7.933420260679503
97,2016,23,1.297822103389353,2.629241788079043,4.185494801515017,8.112558692983413
98,2017,23,1.3080532683611086,2.7390350892068014,4.267295497232191,8.3143838548001
99,2018,23,1.3917760595023019,2.8965675029326734,4.146492197701109,8.434835760136083
100,2019,23,1.3937990399813867,2.8997885037196154,3.917584762528297,8.2111723062293
101,2020,23,1.4594396954222264,2.807687027580273,3.765493600033709,8.032620323036209
102,2021,23,1.5557010217492686,2.8884283715606056,4.001594098444058,8.445723491753933
103,2022,23,1.5855955925122855,3.0697391647799996,3.9406008262017433,8.595935583494029
64,2015,24,1.2775086791935057,2.4154180243295915,1.9679065126385766,5.660833216161674
65,2016,24,1.3259770190047195,2.494177158671235,2.0049788526382133,5.825133030314168
66,2017,24,1.3355076275644397,2.555387799995901,2.0414914911495656,5.9323869187099065
67,2018,24,1.4091580006249418,2.6359309987555983,1.967105587746756,6.012194587127296
68,2019,24,1.399944248689295,2.596282238950667,1.9107326765847241,5.906959164224686
69,2020,24,1.4854771727002019,2.5448187732662464,1.8529752520926692,5.883271198059117
70,2021,24,1.5371123000587537,2.664309581433549,2.0231740740047073,6.22459595549701
71,2022,24,1.572097410991929,2.42859159358513,2.0141958701652634,6.0148848747423225
112,2015,25,1.2175700811509276,3.113115504271535,1.7154614738852034,6.046147059307666
115,2016,25,1.2540594438611437,3.223150220883932,1.7165435131440798,6.193753177889155
118,2017,25,1.2467423365443437,3.26888146731486,1.7575985520164397,6.273222355875643
121,2018,25,1.3223554568786848,3.44234651689737,1.711296995307181,6.475998969083236
124,2019,25,1.3144521212039026,3.4628387586702556,1.6067972092455607,6.384088089119719
127,2020,25,1.3796460370439694,3.4539074870788764,1.591295609892054,6.4248491340149005
130,2021,25,1.4478592199282356,3.594272615408769,1.6706340708321081,6.712765906169112
135,2022,25,1.4813397949756306,3.7885070729534904,1.6571090512782212,6.926955919207343
88,2015,26,1.235788652054393,3.347529769056542,21.22435310779236,25.807671528903295
89,2016,26,1.2697133166823622,3.6622753142529585,22.445884343992685,27.377872974928007
90,2017,26,1.2763704026668223,3.552601765293546,22.300906678384937,27.129878846345306
91,2018,26,1.3432235253192435,3.7081816474749982,24.152080739133783,29.203485911928023
92,2019,26,1.3468940845055701,3.5330338609378416,24.85742831782401,29.73735626326742
